record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
ltpp-83-0502-c5-L1-t2,ltpp-sdr39,LTPP-83,SP,,,0.0,28.6,59.4,592.5,2.712,1.986289412,0.09
ltpp-83-0503-c5-L1-t1,ltpp-sdr39,LTPP-83,SP,15.0,12.0,3.0,43.0,48.0,592.5,2.716,2.114437116,0.08
ltpp-83-0504-c5-L1-t1,ltpp-sdr39,LTPP-83,SP,17.0,12.0,5.0,40.0,54.0,592.5,2.735,2.114437116,0.07
ltpp-83-0504-c5-L1-t2,ltpp-sdr39,LTPP-83,SP,17.0,12.0,5.0,40.0,54.0,592.5,2.735,2.066381727,0.07
ltpp-83-0505-c1-L1-t1,ltpp-sdr39,LTPP-83,SP,18.0,13.0,5.0,58.0,33.0,592.5,2.68,1.890178634,0.1
ltpp-83-0505-c5-L1-t1,ltpp-sdr39,LTPP-83,SP,17.0,11.0,6.0,46.4,39.6,592.5,2.738,2.098418653,0.08
ltpp-83-0506-c4-L1-t1,ltpp-sdr39,LTPP-83,SP,18.0,13.0,5.0,53.3,38.7,592.5,2.739,2.098418653,0.08
ltpp-83-0506-c4-L1-t2,ltpp-sdr39,LTPP-83,SP,18.0,13.0,5.0,53.3,38.7,592.5,2.739,2.098418653,0.09
ltpp-83-0506-c4-L2-t1,ltpp-sdr39,LTPP-83,SP,16.0,11.0,5.0,29.8,50.2,592.5,2.736,2.274621746,0.05
ltpp-83-0508-c1-L1-t1,ltpp-sdr39,LTPP-83,SP,16.0,13.0,3.0,56.9,35.1,592.5,2.68,2.08240019,0.09
ltpp-83-0508-c5-L1-t2,ltpp-sdr39,LTPP-83,SP,18.0,13.0,5.0,41.7,40.3,592.5,2.733,2.114437116,0.08
ltpp-83-0508-c5-L3-t2,ltpp-sdr39,LTPP-83,SP,,,0.0,10.8,48.2,592.5,2.737,2.24258482,0.06
ltpp-83-0509-c4-L1-t1,ltpp-sdr39,LTPP-83,SP,16.0,12.0,4.0,47.2,37.8,592.5,2.735,2.130455579,0.07
ltpp-83-0509-c4-L1-t2,ltpp-sdr39,LTPP-83,SP,16.0,12.0,4.0,47.2,37.8,592.5,2.735,2.114437116,0.07
ltpp-83-1801-c1-L2-t1,ltpp-sdr39,LTPP-83,SP,29.0,18.0,11.0,10.5,46.5,592.5,2.68,2.178510968,0.08
ltpp-83-1801-c1-L2-t2,ltpp-sdr39,LTPP-83,SP,29.0,18.0,11.0,10.5,46.5,592.5,2.68,2.162492505,0.08
ltpp-83-1801-c1-L3-t1,ltpp-sdr39,LTPP-83,SP,22.0,17.0,5.0,10.9,51.1,592.5,2.68,2.194529431,0.08
ltpp-83-1801-c1-L3-t2,ltpp-sdr39,LTPP-83,SP,22.0,17.0,5.0,10.9,51.1,592.5,2.68,2.210547894,0.07
ltpp-83-3802-c1-L1-t1,ltpp-sdr39,LTPP-83,SP,69.0,33.0,36.0,90.6,7.400000000000006,592.5,2.68,1.473698596,0.18
