curve_id,source_doi,source_title,n_points,fit_rmse,w_opt,S_opt,k_d,k_w,k_d_spread,k_w_spread,k_d_at_bound,k_w_at_bound,k_d_identified,k_w_identified,MDD_Mgm3,OMC_frac,venue,venue_class
curve_0058,10.56726/irjmets39136,EFFECT OF BAGASSE FIBER ON CBR AND SWELLING CHARACTERISTICS OF A-7-6 SOIL,6,0.015,0.17357,0.9981,1.3093,0.0155,0.0,0.9738,False,False,True,False,1.828,0.17357,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0059,10.56726/irjmets39136,EFFECT OF BAGASSE FIBER ON CBR AND SWELLING CHARACTERISTICS OF A-7-6 SOIL,6,0.0128,0.17049,0.9523,1.3328,0.4986,0.0003,0.9713,False,False,True,False,1.8111,0.17049,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0060,10.56726/irjmets39136,EFFECT OF BAGASSE FIBER ON CBR AND SWELLING CHARACTERISTICS OF A-7-6 SOIL,6,0.0098,0.17004,0.9701,1.3565,0.0501,0.0,0.0,False,False,True,True,1.8234,0.17004,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0061,10.56726/irjmets39136,EFFECT OF BAGASSE FIBER ON CBR AND SWELLING CHARACTERISTICS OF A-7-6 SOIL,6,0.0083,0.18661,0.9829,1.3182,0.0,0.0,0.0,False,True,True,False,1.7763,0.18661,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0062,10.56726/irjmets39136,EFFECT OF BAGASSE FIBER ON CBR AND SWELLING CHARACTERISTICS OF A-7-6 SOIL,6,0.0081,0.19461,0.9873,1.3741,0.0918,0.0,0.9886,False,False,True,False,1.7536,0.19461,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0063,10.33736/jcest.5337.2023,COMPACTION CHARACTERISTICS AND WORKABILITY OF THE LATERITIC SOIL-IRON ORE TAILINGS IN PAVE,8,0.0039,0.08499,0.431,1.0633,0.8973,0.0,0.0,False,False,True,True,1.7534,0.08499,Journal of Civil Engineering Science and Technology,journal
curve_0064,10.28991/cej-2023-09-12-05,Utilization of Ionic Organic Polymer to Improve Performance and Properties of Problematic ,4,0.0229,0.10239,0.7978,1.7894,0.0,0.0,0.0,False,True,True,False,1.9941,0.10239,Civil Engineering Journal,journal
curve_0065,10.28991/cej-2023-09-12-05,Utilization of Ionic Organic Polymer to Improve Performance and Properties of Problematic ,4,0.0116,0.10659,0.7891,1.523,0.0,0.0,0.0,False,True,True,False,1.9676,0.10659,Civil Engineering Journal,journal
curve_0066,10.28991/cej-2023-09-12-05,Utilization of Ionic Organic Polymer to Improve Performance and Properties of Problematic ,4,0.001,0.15628,0.8605,1.1314,0.0291,0.0,0.214,False,False,True,False,1.8026,0.15628,Civil Engineering Journal,journal
curve_0067,10.31276/vjste.2023.0104,Geotechnical properties of cement-stabilised fill material: Developing a linear regression,5,0.0101,0.15146,0.6126,1.3125,0.2908,0.0,0.3377,False,False,True,False,1.612,0.15146,Ministry of Science and Technology Vietnam,journal
curve_0068,10.31276/vjste.2023.0104,Geotechnical properties of cement-stabilised fill material: Developing a linear regression,5,0.0284,0.13316,0.5877,1.4259,0.2854,0.0,0.4996,False,False,True,False,1.6675,0.13316,Ministry of Science and Technology Vietnam,journal
curve_0069,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0067,0.25004,0.7827,1.3173,0.453,0.0205,0.0492,False,False,True,True,1.4438,0.25004,Civil Engineering Journal,journal
curve_0070,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0031,0.23046,0.7592,1.1492,0.7611,0.0087,0.0245,False,False,True,True,1.4778,0.23046,Civil Engineering Journal,journal
curve_0071,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0041,0.22025,0.7364,1.1651,0.7194,0.0118,0.0254,False,False,True,True,1.4876,0.22025,Civil Engineering Journal,journal
curve_0072,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0061,0.21367,0.7086,1.2454,0.5874,0.0,0.0,False,False,True,True,1.4823,0.21367,Civil Engineering Journal,journal
curve_0073,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0067,0.21021,0.729,1.2544,0.5034,0.0323,0.0905,False,False,True,True,1.5117,0.21021,Civil Engineering Journal,journal
