record_id,source,reference_or_doi,test_standard,energy_kJm3,gravel_pct,sand_pct,silt_pct,clay_pct,fines_pct,D10,D30,D50,D60,Cu,Cc,LL,PL,PI,uscs,Gs,Gs_imputed,MDD_Mgm3,OMC_frac,S_opt
gun_68,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,11.05,37.95,,,51.0,,,,,,,28.35,13.68,14.670000000000002,,2.68,True,1.965341488277268,0.11,0.8107126148228446
gun_69,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,3.5,31.5,,,65.0,,,,,,,41.7,23.84,17.860000000000003,,2.68,True,1.6595310907237513,0.198,0.8629499340712032
gun_7,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,18.22,21.78,,,60.0,,,,,,,51.3,28.64,22.66,,2.68,True,1.7217125382262997,0.188,0.90522695940771
gun_70,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,33.6,28.9,,,37.5,,,,,,,46.25,26.11,20.14,,2.68,True,1.8093781855249744,0.148,0.8243209067066314
gun_71,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,31.8,26.7,,,41.5,,,,,,,39.2,25.15,14.050000000000004,,2.68,True,1.6992864424057086,0.182,0.8451437718277066
gun_72,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,34.3,28.7,,,37.0,,,,,,,40.8,23.65,17.15,,2.68,True,1.674821610601427,0.188,0.8394948888528312
gun_73,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,45.8,33.2,,,21.0,,,,,,,34.95,19.65,15.300000000000004,,2.68,True,1.8695208970438328,0.142,0.8778324696885846
gun_74,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,38.21,27.79,,,34.0,,,,,,,33.2,15.8,17.400000000000002,,2.68,True,1.892966360856269,0.129,0.8315226919490207
gun_75,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,34.84,32.66,,,32.5,,,,,,,37.8,20.36,17.439999999999998,,2.68,True,1.7655453618756372,0.149,0.770970526597405
gun_76,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,30.39,45.61,,,24.0,,,,,,,35.3,19.71,15.589999999999996,,2.68,True,1.9011213047910287,0.131,0.8569314731441722
gun_77,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,38.78,25.22,,,36.0,,,,,,,39.9,19.69,20.21,,2.68,True,1.747196738022426,0.185,0.9286632862700528
gun_78,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,67.1,19.9,,,13.0,,,,,,,28.2,15.0,13.2,,2.68,True,2.09072375127421,0.076,0.7226468308884585
gun_79,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,36.19,25.81,,,38.0,,,,,,,27.6,17.5,10.1,,2.68,True,1.921508664627931,0.122,0.8282974948930223
gun_8,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,1.65,23.35,,,75.0,,,,,,,55.15,28.04,27.11,,2.68,True,1.4668705402650355,0.26,0.8425443667652592
gun_80,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,34.11,32.89,,,33.0,,,,,,,49.3,22.6,26.7,,2.68,True,1.7359836901121306,0.182,0.8969584485141673
gun_81,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,31.36,28.64,,,40.0,,,,,,,40.2,26.0,14.200000000000005,,2.68,True,1.788990825688073,0.1384999999999999,0.7452646210873137
gun_83,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,24.69,25.31,,,50.0,,,,,,,49.1,26.61,22.49,,2.68,True,1.6880733944954127,0.204,0.930415094339622
